순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,한화,72,42,29,1,0.592,0,6승1무3패,2패,23-1-12,19-0-17
2,LG,72,41,29,2,0.586,0.5,4승1무5패,1패,23-0-14,18-2-15
3,롯데,74,40,31,3,0.563,2,7승0무3패,3승,19-2-15,21-1-16
4,KIA,71,37,33,1,0.529,4.5,7승0무3패,5승,22-1-14,15-0-19
5,삼성,73,38,34,1,0.528,4.5,5승0무5패,2패,24-0-17,14-1-17
6,SSG,71,36,33,2,0.522,5,5승0무5패,1승,19-2-15,17-0-18
7,KT,73,36,34,3,0.514,5.5,4승0무6패,3패,20-1-18,16-2-16
8,NC,69,31,34,4,0.477,8,5승1무4패,1승,8-0-12,23-4-22
9,두산,72,28,41,3,0.406,13,3승0무7패,1승,14-3-20,14-0-21
10,키움,75,21,52,2,0.288,22,2승1무7패,1패,12-1-29,9-1-23
