순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,한화,73,43,29,1,0.597,0,6승1무3패,1승,24-1-12,19-0-17
2,LG,74,42,30,2,0.583,1,4승1무5패,1승,24-0-15,18-2-15
3,롯데,75,41,31,3,0.569,2,7승0무3패,4승,20-2-15,21-1-16
4,KIA,73,38,33,2,0.535,4.5,7승1무2패,6승,22-1-14,16-1-19
5,삼성,74,38,35,1,0.521,5.5,4승0무6패,3패,24-0-17,14-1-18
6,SSG,73,36,34,3,0.514,6,4승1무5패,1패,19-3-16,17-0-18
7,KT,75,37,35,3,0.514,6,4승0무6패,1패,21-1-19,16-2-16
8,NC,71,32,35,4,0.478,8.5,6승0무4패,1승,8-0-12,24-4-23
9,두산,74,29,42,3,0.408,13.5,4승0무6패,1패,14-3-20,15-0-22
10,키움,76,21,53,2,0.284,23,1승1무8패,2패,12-1-29,9-1-24
