순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,LG,51,32,18,1,0.640,0,5승1무4패,1패,18-0-7,14-1-11
2,롯데,53,30,20,3,0.600,2,6승1무3패,1승,14-2-10,16-1-10
3,한화,51,30,21,0,0.588,2.5,3승0무7패,1패,16-0-11,14-0-10
4,NC,47,23,22,2,0.511,6.5,6승1무3패,3승,5-0-6,18-2-16
5,KT,52,25,24,3,0.510,6.5,7승0무3패,2승,13-1-13,12-2-11
5,SSG,50,25,24,1,0.510,6.5,6승0무4패,1승,14-1-12,11-0-12
7,삼성,52,25,26,1,0.490,7.5,5승0무5패,1승,17-0-13,8-1-13
8,KIA,49,24,25,0,0.490,7.5,6승0무4패,1패,14-0-11,10-0-14
9,두산,51,20,28,3,0.417,11,3승1무6패,1패,9-3-16,11-0-12
10,키움,54,14,40,0,0.259,20,1승0무9패,6패,7-0-22,7-0-18
