순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,LG,45,29,16,0,0.644,0,7승0무3패,2패,17-0-7,12-0-9
2,한화,45,28,17,0,0.622,1,6승0무4패,1패,15-0-9,13-0-8
3,롯데,47,27,18,2,0.600,2,7승1무2패,2승,12-1-9,15-1-9
4,KIA,43,21,22,0,0.488,7,6승0무4패,3승,13-0-11,8-0-11
4,KT,46,21,22,3,0.488,7,3승1무6패,2승,11-1-12,10-2-10
4,SSG,44,21,22,1,0.488,7,5승0무5패,1승,13-1-11,8-0-11
7,NC,41,19,21,1,0.475,7.5,6승1무3패,1패,2-0-5,17-1-16
8,삼성,46,21,24,1,0.467,8,2승0무8패,2패,16-0-12,5-1-12
9,두산,45,19,24,2,0.442,9,4승1무5패,2패,8-2-13,11-0-11
10,키움,48,14,34,0,0.292,16.5,2승0무8패,1승,7-0-17,7-0-17
