순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,한화,78,45,32,1,0.584,0,5승0무5패,1패,24-1-12,21-0-20
2,LG,79,44,33,2,0.571,1,4승0무6패,2패,25-0-17,19-2-16
3,롯데,80,43,34,3,0.558,2,6승0무4패,1승,21-2-17,22-1-17
4,KIA,79,41,35,3,0.539,3.5,6승2무2패,2승,22-1-14,19-2-21
5,SSG,78,39,36,3,0.520,5,5승1무4패,1승,21-3-17,18-0-19
6,KT,80,40,37,3,0.519,5,4승0무6패,1패,22-1-20,18-2-17
7,삼성,79,39,39,1,0.500,6.5,3승0무7패,4패,25-0-18,14-1-21
8,NC,76,35,37,4,0.486,7.5,6승0무4패,1패,11-0-14,24-4-23
9,두산,79,31,45,3,0.408,13.5,4승0무6패,1승,15-3-21,16-0-24
10,키움,82,25,54,3,0.316,21,5승1무4패,3승,16-2-30,9-1-24
