순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,LG,52,33,18,1,0.647,0,5승1무4패,1승,18-0-7,15-1-11
2,한화,52,31,21,0,0.596,2.5,4승0무6패,1승,17-0-11,14-0-10
3,롯데,54,30,21,3,0.588,3,5승1무4패,1패,14-2-10,16-1-11
4,KT,53,26,24,3,0.520,6.5,7승0무3패,3승,13-1-13,13-2-11
5,삼성,53,26,26,1,0.500,7.5,6승0무4패,2승,18-0-13,8-1-13
5,SSG,51,25,25,1,0.500,7.5,6승0무4패,1패,14-1-13,11-0-12
5,NC,48,23,23,2,0.500,7.5,5승1무4패,1패,5-0-6,18-2-17
8,KIA,50,24,26,0,0.480,8.5,6승0무4패,2패,14-0-11,10-0-15
9,두산,52,21,28,3,0.429,11,3승1무6패,1승,10-3-16,11-0-12
10,키움,55,14,41,0,0.255,21,1승0무9패,7패,7-0-23,7-0-18
