순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,한화,77,45,31,1,0.592,0,5승1무4패,1승,24-1-12,21-0-19
2,LG,78,44,32,2,0.579,1,4승0무6패,1패,25-0-16,19-2-16
3,롯데,79,42,34,3,0.553,3,5승0무5패,2패,20-2-17,22-1-17
4,KIA,78,40,35,3,0.533,4.5,6승2무2패,1승,22-1-14,18-2-21
5,KT,79,40,36,3,0.526,5,5승0무5패,2승,22-1-20,18-2-16
6,SSG,77,38,36,3,0.514,6,5승1무4패,1패,20-3-17,18-0-19
7,삼성,78,39,38,1,0.506,6.5,3승0무7패,3패,25-0-18,14-1-20
8,NC,75,35,36,4,0.493,7.5,6승0무4패,2승,11-0-13,24-4-23
9,두산,78,30,45,3,0.400,14.5,4승0무6패,3패,15-3-21,15-0-24
10,키움,81,24,54,3,0.308,22,4승1무5패,2승,15-2-30,9-1-24
