순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,한화,79,46,32,1,0.590,0,5승0무5패,1승,25-1-12,21-0-20
2,LG,80,45,33,2,0.577,1,5승0무5패,1승,25-0-17,20-2-16
3,롯데,81,43,35,3,0.551,3,6승0무4패,1패,21-2-18,22-1-17
4,KIA,80,42,35,3,0.545,3.5,6승2무2패,3승,23-1-14,19-2-21
5,SSG,79,39,37,3,0.513,6,4승1무5패,1패,21-3-17,18-0-20
6,KT,81,40,38,3,0.513,6,4승0무6패,2패,22-1-21,18-2-17
7,삼성,80,40,39,1,0.506,6.5,3승0무7패,1승,25-0-18,15-1-21
8,NC,77,35,38,4,0.479,8.5,5승0무5패,2패,11-0-14,24-4-24
9,두산,80,31,46,3,0.403,14.5,4승0무6패,1패,15-3-22,16-0-24
10,키움,83,26,54,3,0.325,21,6승1무3패,4승,16-2-30,10-1-24
