순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,한화,74,43,30,1,0.589,0,6승1무3패,1패,24-1-12,19-0-18
2,LG,75,42,31,2,0.575,1,4승1무5패,1패,24-0-15,18-2-16
3,롯데,76,41,32,3,0.562,2,7승0무3패,1패,20-2-15,21-1-17
4,KIA,75,39,34,2,0.534,4,7승1무2패,1승,22-1-14,17-1-20
5,삼성,75,39,35,1,0.527,4.5,4승0무6패,1승,25-0-17,14-1-18
6,KT,76,38,35,3,0.521,5,4승0무6패,1승,22-1-19,16-2-16
7,SSG,74,36,35,3,0.507,6,3승1무6패,2패,19-3-16,17-0-19
8,NC,72,33,35,4,0.485,7.5,6승0무4패,2승,9-0-12,24-4-23
9,두산,75,30,42,3,0.417,12.5,5승0무5패,1승,15-3-20,15-0-22
10,키움,78,22,54,2,0.289,22.5,2승0무8패,1패,13-1-30,9-1-24
