순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,LG,47,31,16,0,0.660,0,8승0무2패,2승,18-0-7,13-0-9
2,한화,47,29,18,0,0.617,2,5승0무5패,1승,15-0-10,14-0-8
3,롯데,49,28,19,2,0.596,3,6승1무3패,1패,13-1-10,15-1-9
4,SSG,46,23,22,1,0.511,7,7승0무3패,3승,13-1-11,10-0-11
5,KIA,45,22,23,0,0.489,8,6승0무4패,1패,14-0-11,8-0-12
5,KT,48,22,23,3,0.489,8,4승1무5패,1승,12-1-12,10-2-11
7,NC,43,20,22,1,0.476,8.5,5승1무4패,1패,3-0-6,17-1-16
8,삼성,48,22,25,1,0.468,9,3승0무7패,1승,16-0-12,6-1-13
9,두산,47,19,26,2,0.422,11,3승1무6패,4패,8-2-14,11-0-12
10,키움,50,14,36,0,0.280,18.5,1승0무9패,2패,7-0-18,7-0-18
