순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,LG,49,31,17,1,0.646,0,6승1무3패,1패,18-0-7,13-1-10
2,롯데,51,29,19,3,0.604,2,5승2무3패,1승,14-2-10,15-1-9
3,한화,49,29,20,0,0.592,2.5,3승0무7패,2패,15-0-10,14-0-10
4,SSG,48,24,23,1,0.511,6.5,7승0무3패,1패,13-1-11,11-0-12
5,NC,45,22,22,1,0.500,7,6승0무4패,2승,5-0-6,17-1-16
6,삼성,50,24,25,1,0.490,7.5,5승0무5패,3승,16-0-12,8-1-13
7,KIA,47,23,24,0,0.489,7.5,6승0무4패,1승,14-0-11,9-0-13
7,KT,50,23,24,3,0.489,7.5,5승1무4패,1패,13-1-13,10-2-11
9,두산,49,20,27,2,0.426,10.5,4승0무6패,1승,9-2-15,11-0-12
10,키움,52,14,38,0,0.269,19,1승0무9패,4패,7-0-20,7-0-18
