순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,한화,73,43,29,1,0.597,0,6승1무3패,1승,24-1-12,19-0-17
2,LG,75,42,31,2,0.575,1.5,4승1무5패,1패,24-0-15,18-2-16
3,롯데,75,41,31,3,0.569,2,7승0무3패,4승,20-2-15,21-1-16
4,KIA,74,38,34,2,0.528,5,6승1무3패,1패,22-1-14,16-1-20
5,삼성,74,38,35,1,0.521,5.5,4승0무6패,3패,24-0-17,14-1-18
5,KT,76,38,35,3,0.521,5.5,4승0무6패,1승,22-1-19,16-2-16
7,SSG,74,36,35,3,0.507,6.5,3승1무6패,2패,19-3-16,17-0-19
8,NC,71,32,35,4,0.478,8.5,6승0무4패,1승,8-0-12,24-4-23
9,두산,75,30,42,3,0.417,13,5승0무5패,1승,15-3-20,15-0-22
10,키움,77,22,53,2,0.293,22.5,2승1무7패,1승,13-1-29,9-1-24
