순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,LG,50,32,17,1,0.653,0,6승1무3패,1승,18-0-7,14-1-10
2,한화,50,30,20,0,0.600,2.5,3승0무7패,1승,16-0-10,14-0-10
3,롯데,52,29,20,3,0.592,3,5승1무4패,1패,14-2-10,15-1-10
4,KIA,48,24,24,0,0.500,7.5,7승0무3패,2승,14-0-11,10-0-13
4,KT,51,24,24,3,0.500,7.5,6승0무4패,1승,13-1-13,11-2-11
4,SSG,49,24,24,1,0.500,7.5,6승0무4패,2패,13-1-12,11-0-12
4,NC,46,22,22,2,0.500,7.5,5승1무4패,2승,5-0-6,17-2-16
8,삼성,51,24,26,1,0.480,8.5,5승0무5패,1패,16-0-13,8-1-13
9,두산,50,20,27,3,0.426,11,4승1무5패,1승,9-3-15,11-0-12
10,키움,53,14,39,0,0.264,20,1승0무9패,5패,7-0-21,7-0-18
