순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,LG,77,44,31,2,0.587,0,4승1무5패,2승,25-0-15,19-2-16
1,한화,76,44,31,1,0.587,0,5승1무4패,1패,24-1-12,20-0-19
3,롯데,78,42,33,3,0.560,2,6승0무4패,1패,20-2-16,22-1-17
4,KIA,77,39,35,3,0.527,4.5,6승2무2패,1패,22-1-14,17-2-21
5,SSG,76,38,35,3,0.521,5,5승1무4패,2승,20-3-16,18-0-19
6,KT,78,39,36,3,0.520,5,5승0무5패,1승,22-1-20,17-2-16
7,삼성,77,39,37,1,0.513,5.5,3승0무7패,2패,25-0-18,14-1-19
8,NC,74,34,36,4,0.486,7.5,5승0무5패,1승,10-0-13,24-4-23
9,두산,77,30,44,3,0.405,13.5,5승0무5패,2패,15-3-21,15-0-23
10,키움,80,23,54,3,0.299,22,3승1무6패,1승,14-2-30,9-1-24
