순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,LG,53,34,18,1,0.654,0,5승1무4패,2승,19-0-7,15-1-11
2,한화,53,31,22,0,0.585,3.5,4승0무6패,1패,17-0-11,14-0-11
3,롯데,55,30,22,3,0.577,4,5승1무4패,2패,14-2-10,16-1-12
4,KT,54,27,24,3,0.529,6.5,8승0무2패,4승,14-1-13,13-2-11
5,삼성,54,27,26,1,0.509,7.5,6승0무4패,3승,19-0-13,8-1-13
6,SSG,52,25,25,2,0.500,8,5승1무4패,1패,14-2-13,11-0-12
6,NC,49,23,23,3,0.500,8,5승2무3패,1패,5-0-6,18-3-17
8,KIA,51,25,26,0,0.490,8.5,6승0무4패,1승,15-0-11,10-0-15
9,두산,53,21,29,3,0.420,12,2승1무7패,1패,10-3-16,11-0-13
10,키움,56,14,42,0,0.250,22,1승0무9패,8패,7-0-23,7-0-19
