순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,한화,70,42,27,1,0.609,0,6승1무3패,5승,23-1-12,19-0-15
2,LG,70,40,28,2,0.588,1.5,4승1무5패,2패,22-0-13,18-2-15
3,롯데,71,37,31,3,0.544,4.5,5승0무5패,2패,16-2-15,21-1-16
4,삼성,70,37,32,1,0.536,5,6승0무4패,1승,23-0-16,14-1-16
5,KT,71,36,32,3,0.529,5.5,6승0무4패,1패,20-1-18,16-2-14
6,SSG,69,35,32,2,0.522,6,4승0무6패,2승,19-2-15,16-0-17
7,KIA,69,35,33,1,0.515,6.5,6승0무4패,3승,20-1-14,15-0-19
8,NC,67,30,33,4,0.476,9,5승1무4패,1승,8-0-12,22-4-21
9,두산,70,27,40,3,0.403,14,4승0무6패,1패,14-3-20,13-0-20
10,키움,73,20,51,2,0.282,23,3승1무6패,6패,11-1-28,9-1-23
